jon-frosch,0.198242665,223
brad-mariano,0.5,6
glen-weldon,0.031494141,13
fausto-ponce,0.093816415,62
james-hanton,0.84375,7
julie-washington,0.024674256,83
yana-grebenyuk,0.75,2
andrew-chan,0.614379883,13
derek-smith,0.172070273,342
kass-mitchell,0,1
ian-sandwell,0.265625,6
marija-djurovic,0.008056641,363
chris-alexander,0.462064012,101
bill-keveney,0,1
chance-solem-pfeifer,0.644779107,47
fernando-e-juan-lima,0,2
gail-tolley,0.004234351,46
hannah-lemass,0,1
zachary-lewis,0,1
kyle-mullin,0.013305664,14
stuart-klawans,0.312515298,398
michael-osullivan-18857,0.021545649,37
nick-newman,0.257946022,63
matthew-toomey,0.164192237,667
eric-henderson,4.20E-06,486
catherina-gioino,0,3
pedro-jose-tena,0.5,1
james-bartlett,0,5
jeffrey-bloomer,0.016892205,42
oleg-ivanov,0.287620614,74
kate-taylor,0.230553053,297
ty-burr,0.125122219,2474
justin-lowe,0.347664955,272
danielle-ransom,0.125,3
david-james,0.011964798,62
kyle-aaronson,0.125,8
blake-williams,0.000318875,34
gary-rotstein,7.63E-06,19
zoe-williams,0,1
mabel-salinas,0.017033827,141
scott-menzel,0.633331895,86
candice-frederick,0.28177366,491
norman-wilner,0.629162438,1195
joyce-millman,0,5
michael-smith,0.078125596,469
mary-mcnamara,0.531250015,26
camilla-long,0.06849054,284
gemma-creagh,0.53125,9
emma-stefansky,0.75,2
bruce-demara,4.71E-05,467
nestor-burtone,0.09725963,32
eleanor-ringel-cater,0.875314482,1070
jonathan-kiefer,0.074234009,539
orla-smith,0,2
yasmin-shehab,0.003540043,119
joule-zelman,0.25,8
laura-hiros,3.31E-05,188
jenna-dorsi,0,1
tom-charity,0.166019458,246
hanh-nguyen,0.094732409,39
julia-smith,0.03515625,9
john-urbancich,0.501953275,272
luke-spafford,0.857421875,11
zehra-phelan,0.25,4
chris-klimek,0.64868252,129
jason-guerrasio,0.000263459,50
jennie-kermode,0.944059006,1195
mark-monahan,0,7
amy-nicholson,0.071291002,949
blake-howard,0.031257637,563
felix-vasquez-jr,0.265698463,2822
ross-ruediger,0.035644531,11
andrea-mandell,0,2
eddie-cockrell,3.29E-05,226
pilot-viruet,0.25,4
robin-wright,0,1
paula-vazquez-prieto,0.5,9
robert-lloyd,0.156982422,55
lisa-giles-keddie,0.507815302,309
ed-halter,0.166232825,89
patrik-sandberg,0.125,3
justin-carreiro,0.5,4
meredith-blake,0,4
alexandra-pollard,0,4
diana-su,0.25,4
jazmine-joyner,0,1
sally-newall,0,2
amy-amatangelo,0.0546875,9
graham-techler,0.578125,6
miguel-munoz-garnica,0.001045763,28
karen-dsouza,0.13382411,29
ellen-brait,0.015625,7
tatiana-craine,0.007938623,27
ken-eisner,0.005291276,566
zoe-margolis,0.218933105,15
kit-bowen,0.25048925,639
lili-loofbourow,0.015625495,31
joelle-smith,0,14
ned-lannamann,0.033651367,49
wayne-alan-brenner,0.140625,6
tobi-akingbade,0.5,2
suzanne-keane,0.375,3
harvey-s-karten,0.035158115,3933
gillie-collins,0,4
kate-knibbs,0,2
princess-weekes,0.7578125,7
