marty-mapes,0.096679934,1259
linda-barnard,0.100160837,723
peter-keough,0.105712958,1259
travis-hopson,0.12500096,951
mike-scott,0.12503052,1076
eric-kohn,0.125045784,902
leslie-felperin,0.125122193,702
ty-burr,0.125122219,2474
ronnie-scheib,0.125187003,576
marc-savlov,0.125244141,2448
jesse-hassenger,0.125587556,600
bill-goodykoontz,0.125611424,1765
john-beifuss,0.12567197,2620
jules-brenner,0.125734881,1582
geoff-andrew,0.125763416,991
john-defore,0.126527809,1033
glenn-whipp,0.12698883,1025
mark-r-leeper,0.128479004,1805
tom-huddleston,0.128967285,687
kimberly-gadette,0.128997862,514
dennis-schwartz,0.129037382,11332
scott-a-mantz,0.132827766,556
william-bibbiani,0.132901192,657
dave-calhoun,0.133134846,732
variety-staff,0.135751249,1782
nick-rogers,0.141115215,918
barbara-shulgasser,0.141245315,512
jim-judy,0.142609068,1856
john-anderson,0.143098836,1843
gary-goldstein,0.149706841,1091
jason-zingale,0.156381607,523
mark-jenkins,0.162109615,583
matthew-toomey,0.164192237,667
michael-dequina,0.172955351,2706
kevin-carr,0.185732889,2306
kate-muir,0.18750823,760
lisa-schwarzbaum,0.187528685,2288
aaron-hillis,0.191419603,550
elizabeth-weitzman,0.191562433,1879
tony-macklin,0.195322118,646
wesley-lovell,0.195373535,973
christian-toto,0.197899472,1018
gary-wolcott,0.207223417,900
simon-abrams,0.208149501,629
matt-prigge,0.218780518,1093
kam-williams,0.226648331,2055
susan-granger,0.250007868,3119
ed-whitfield,0.250011475,593
moira-macdonald,0.250017166,2365
bob-grimm,0.250246049,556
kit-bowen,0.25048925,639
ann-hornaday,0.250522644,1574
glenn-lovell,0.250801154,666
ignatiy-vishnevetsky,0.250871348,774
kurt-loder,0.250977278,1084
mark-adams,0.251955078,568
joe-leydon,0.251960788,1084
colin-covert,0.252944946,2804
sean-burns,0.253418954,1489
chris-nashawaty,0.253912002,562
frank-scheck,0.253936949,1512
peter-travers,0.254028916,3018
james-kendrick,0.254760803,2542
kirk-honeycutt,0.255862352,1828
wendy-ide,0.256962744,1267
john-hanlon,0.257572293,531
geoffrey-macnab,0.257812888,1287
robert-w-butler,0.257831577,1597
robert-levin,0.257934571,970
j-r-jones,0.257941321,2003
linda-cook,0.258058684,2088
renee-schonfeld,0.258058795,513
sandra-hall,0.258321763,601
sarah-marrs,0.258789063,550
peter-bradshaw,0.259339809,3756
liam-lacey,0.259831436,1619
felix-vasquez-jr,0.265698463,2822
rebecca-murray,0.265749015,842
matthew-lickona,0.265750053,559
